2019-02-03 21:45:04,914 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:45:04,922 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:45:04,924 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:45:04,929 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:45:04,929 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:45:04,933 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:45:04,935 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:45:04,935 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:45:04,936 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:45:04,936 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:45:04,937 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:45:04,942 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:45:04,946 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:45:04,948 INFO-LogService.java>beforeMethod-Entering.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
2019-02-03 21:45:04,990 INFO-LogService.java>afterMethod-Exiting.....class com.sun.proxy.$Proxy165 ;  Method: SkillRepository.findAll(..)
2019-02-03 21:45:04,991 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
2019-02-03 21:45:04,996 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:46:11,204 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:46:11,213 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:46:11,213 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:46:11,215 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:46:11,217 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getUsernameFromToken(..)
2019-02-03 21:46:11,217 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:46:11,220 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.getRolesFromToken(..)
2019-02-03 21:46:11,220 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:46:11,223 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.TokenProvider ;  Method: TokenProvider.isTokenExpired(..)
2019-02-03 21:46:11,224 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:46:11,224 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:46:11,225 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.supports(..)
2019-02-03 21:46:11,225 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:46:11,225 INFO-LogService.java>afterMethod-Exiting.....class com.eg.mod.security.JsonWebTokenAuthenticationProvider ;  Method: JsonWebTokenAuthenticationProvider.authenticate(..)
2019-02-03 21:46:11,232 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.controller.SkillsController ;  Method: SkillsController.findAllSkills(..)
2019-02-03 21:46:11,243 INFO-LogService.java>beforeMethod-Entering.....class com.eg.mod.service.SkillService ;  Method: SkillService.findAllSkills(..)
